birth_band,universe_year,universe,n_child,n_women,n_women_weighted,probability,probability_weighted
1900-1909,1990,ever_married,7,4094,73385,0.020952965863145503,0.019245470554836545
1900-1909,1990,ever_married,8,2895,53213,0.014816520804544757,0.01395529365176149
1900-1909,1990,ever_married,9,1872,33794,0.009580838323353293,0.008862593608096289
1900-1909,1990,ever_married,10,1387,24503,0.007098623266287937,0.006425996661513386
1900-1909,1990,ever_married,11,783,14135,0.004007369875633349,0.0037069527327466723
1900-1909,1990,ever_married,12,1381,24532,0.007067915451148984,0.006433602012008586
1910-1919,1970,all_women,0,22331,2233100,0.20492232020775789,0.20492232020775789
1910-1919,1970,all_women,1,18716,1871600,0.17174896534003836,0.17174896534003836
1910-1919,1970,all_women,2,26170,2617000,0.2401512301212227,0.2401512301212227
1910-1919,1970,all_women,3,17612,1761200,0.16161801547172236,0.16161801547172236
1910-1919,1970,all_women,4,10025,1002500,0.09199526488212677,0.09199526488212677
1910-1919,1970,all_women,5,5467,546700,0.05016839033522065,0.05016839033522065
1910-1919,1970,all_women,6,3149,314900,0.0288970662457673,0.0288970662457673
1910-1919,1970,all_women,7,1877,187700,0.017224450093142336,0.017224450093142336
1910-1919,1970,all_women,8,1261,126100,0.011571673717342829,0.011571673717342829
1910-1919,1970,all_women,9,888,88800,0.008148807502775917,0.008148807502775917
1910-1919,1970,all_women,10,540,54000,0.00495535591385022,0.00495535591385022
1910-1919,1970,all_women,11,327,32700,0.0030007433033870773,0.0030007433033870773
1910-1919,1970,all_women,12,610,61000,0.0055977168656456185,0.0055977168656456185
1910-1919,1970,ever_married,0,16157,1615700,0.15815542438747443,0.15815542438747443
1910-1919,1970,ever_married,1,18447,1844700,0.18057146213255806,0.18057146213255806
1910-1919,1970,ever_married,2,26036,2603600,0.254857623899999,0.254857623899999
1910-1919,1970,ever_married,3,17535,1753500,0.17164420168560773,0.17164420168560773
1910-1919,1970,ever_married,4,9973,997300,0.09762233381297782,0.09762233381297782
1910-1919,1970,ever_married,5,5431,543100,0.05316222750810012,0.05316222750810012
1910-1919,1970,ever_married,6,3128,312800,0.030618937146996348,0.030618937146996348
1910-1919,1970,ever_married,7,1855,185500,0.01815796943979483,0.01815796943979483
1910-1919,1970,ever_married,8,1254,125400,0.01227498311455672,0.01227498311455672
1910-1919,1970,ever_married,9,884,88400,0.008653177889368533,0.008653177889368533
1910-1919,1970,ever_married,10,528,52800,0.005168413942971251,0.005168413942971251
1910-1919,1970,ever_married,11,324,32400,0.0031715267377323583,0.0031715267377323583
1910-1919,1970,ever_married,12,607,60700,0.0059417183018627825,0.0059417183018627825
1910-1919,1980,all_women,0,103302,2066040,0.20149057225725536,0.20149057225725536
1910-1919,1980,all_women,1,86291,1725820,0.1683106132567697,0.1683106132567697
1910-1919,1980,all_women,2,124765,2495300,0.2433541581738637,0.2433541581738637
1910-1919,1980,all_women,3,83409,1668180,0.16268927166371816,0.16268927166371816
1910-1919,1980,all_women,4,48151,963020,0.09391853540840549,0.09391853540840549
1910-1919,1980,all_women,5,25877,517540,0.0504730938249114,0.0504730938249114
1910-1919,1980,all_women,6,15008,300160,0.029273107088312798,0.029273107088312798
1910-1919,1980,all_women,7,9032,180640,0.017616917858584834,0.017616917858584834
1910-1919,1980,all_women,8,5827,116540,0.011365564699067075,0.011365564699067075
1910-1919,1980,all_women,9,3766,75320,0.007345583774959088,0.007345583774959088
1910-1919,1980,all_women,10,2744,54880,0.005352172564654206,0.005352172564654206
1910-1919,1980,all_women,11,1671,33420,0.0032592858438546565,0.0032592858438546565
1910-1919,1980,all_women,12,2846,56920,0.005551123585643539,0.005551123585643539
1910-1919,1980,ever_married,0,77239,1544780,0.15948750245201787,0.15948750245201787
1910-1919,1980,ever_married,1,85134,1702680,0.17578954975789549,0.17578954975789549
1910-1919,1980,ever_married,2,124297,2485940,0.2566555508522698,0.2566555508522698
1910-1919,1980,ever_married,3,83157,1663140,0.1717073271456447,0.1717073271456447
1910-1919,1980,ever_married,4,48002,960040,0.0991172735626013,0.0991172735626013
1910-1919,1980,ever_married,5,25775,515500,0.05322169338935979,0.05322169338935979
1910-1919,1980,ever_married,6,14942,298840,0.030853095737102387,0.030853095737102387
1910-1919,1980,ever_married,7,8985,179700,0.018552741614098846,0.018552741614098846
1910-1919,1980,ever_married,8,5788,115760,0.011951393262371076,0.011951393262371076
1910-1919,1980,ever_married,9,3745,74900,0.007732890077328901,0.007732890077328901
1910-1919,1980,ever_married,10,2734,54680,0.005645319485024623,0.005645319485024623
1910-1919,1980,ever_married,11,1665,33300,0.0034379871772370145,0.0034379871772370145
1910-1919,1980,ever_married,12,2832,56640,0.005847675487048183,0.005847675487048183
1910-1919,1990,all_women,0,79914,1563527,0.19082709890944344,0.1971279949447345
1910-1919,1990,all_women,1,70039,1348160,0.16724652977599055,0.16997472871571342
1910-1919,1990,all_women,2,102545,1959753,0.2448677935989799,0.2470837916306711
1910-1919,1990,all_women,3,69313,1299335,0.16551291021235645,0.1638189192201456
1910-1919,1990,all_women,4,39985,735258,0.09548041081530266,0.09270062832754127
1910-1919,1990,all_women,5,22023,400538,0.052588848002636246,0.05049944953887849
1910-1919,1990,all_women,6,12652,228594,0.030211783359640094,0.028820913790677513
1910-1919,1990,all_women,7,7664,136780,0.018300909553294473,0.017245092120916867
1910-1919,1990,all_women,8,5011,88228,0.011965795638251384,0.011123702205324267
1910-1919,1990,all_women,9,3300,58428,0.007880088925609572,0.007366546588981801
1910-1919,1990,all_women,10,2341,41221,0.00559008732571273,0.0051971044181628465
1910-1919,1990,all_women,11,1453,26194,0.003469627033003245,0.0033025145709555228
1910-1919,1990,all_women,12,2537,45516,0.006058116849779238,0.00573861392729677
1910-1919,1990,ever_married,0,60643,1175343,0.15251036133912763,0.1565902178726679
1910-1919,1990,ever_married,1,69194,1331323,0.17401516980524706,0.1773713363919246
1910-1919,1990,ever_married,2,102169,1952270,0.2569436061483985,0.2600997195255116
1910-1919,1990,ever_married,3,69093,1294915,0.17376116610333173,0.17252072116529876
1910-1919,1990,ever_married,4,39858,732613,0.10023841139546114,0.09760557495671378
1910-1919,1990,ever_married,5,21932,398621,0.05515652663769516,0.053108028242496656
1910-1919,1990,ever_married,6,12586,227259,0.0316523821020441,0.03027757541715451
1910-1919,1990,ever_married,7,7623,136042,0.01917099227426364,0.01812479116294859
1910-1919,1990,ever_married,8,4978,87605,0.012519113149847095,0.011671559737655365
1910-1919,1990,ever_married,9,3271,57843,0.00822619909866409,0.007706386963132234
1910-1919,1990,ever_married,10,2320,40798,0.005834540479639465,0.005435492199952784
1910-1919,1990,ever_married,11,1444,26021,0.0036314984709480123,0.0034667616680957736
1910-1919,1990,ever_married,12,2521,45199,0.0063400329953323675,0.006021834696447519
1920-1929,1980,all_women,0,83754,1675080,0.13654682639572724,0.13654682639572724
1920-1929,1980,all_women,1,76751,1535020,0.12512961139406428,0.12512961139406428
1920-1929,1980,all_women,2,144216,2884320,0.2351199598286195,0.2351199598286195
1920-1929,1980,all_women,3,122527,2450540,0.1997596890630808,0.1997596890630808
1920-1929,1980,all_women,4,79004,1580080,0.12880274939188616,0.12880274939188616
1920-1929,1980,all_women,5,43654,873080,0.07117051316330057,0.07117051316330057
1920-1929,1980,all_women,6,25147,502940,0.04099795882433499,0.04099795882433499
1920-1929,1980,all_women,7,14268,285360,0.02326157698753774,0.02326157698753774
1920-1929,1980,all_women,8,8994,179880,0.01466320601527295,0.01466320601527295
1920-1929,1980,all_women,9,5675,113500,0.009252134104589058,0.009252134104589058
1920-1929,1980,all_women,10,3663,73260,0.005971906118962066,0.005971906118962066
